scenarioName,scenarioLoop,stepName,stepLoop,correlationId,requestTimeStamp,responseDelayMilliSec,responseTimeStamp,result,method
"mock-WHEN-event-has-zero-fields-being-ORDER-EXPECT-message-posted-to-Desp",3,"Clear-Kafka-Queue-Inventory",,"24c43dd8-efdf-4a51-af86-d26ad71ed723","2020-10-16T21:02:30.028576",9173.0,"2020-10-16T21:02:39.202006",PASSED,consume
"mock-WHEN-event-has-zero-fields-being-ORDER-EXPECT-message-posted-to-Desp",3,Webhook-Event-Consume,,"f7ca5a09-422b-4927-b942-4ad756d925eb","2020-10-16T21:02:46.245265",4017.0,"2020-10-16T21:02:50.262540",PASSED,consume
"mock-WHEN-event-has-zero-fields-being-ORDER-EXPECT-message-posted-to-Desp",3,"Clear-Kafka-Queue-Webhook",,"6dd4e4c4-2e98-46d1-9e51-354cfe029dd7","2020-10-16T21:02:26.008224",4019.0,"2020-10-16T21:02:30.027598",PASSED,consume
"mock-WHEN-event-has-zero-fields-being-ORDER-EXPECT-message-posted-to-Desp",3,SETUP_RESET_MAPPINGS,,"1152a604-2e72-433d-a804-00e906f07abc","2020-10-16T21:02:25.960718",33.0,"2020-10-16T21:02:25.993830",PASSED,POST
"mock-WHEN-event-has-zero-fields-being-ORDER-EXPECT-message-posted-to-Desp",3,"EXPECT_GET_call_to_OSP_for_Purchase_order_details",,"fff38427-e7e6-4289-9f66-1e53b22f62fe","2020-10-16T21:02:50.263613",14.0,2020-10-16T21:02:50.278,FAILED,POST
"mock-WHEN-event-has-zero-fields-being-ORDER-EXPECT-message-posted-to-Desp",3,"GIVEN_webhook_xtransferOrder_event_posted_on_kafka",,"04e12c7f-8724-4ce7-9c84-f73753cba5e5","2020-10-16T21:02:39.202995",35.0,"2020-10-16T21:02:39.238287",PASSED,produceMessage
"mock-WHEN-event-has-All-fields-being-TRANSFER-EXPECT-message-posted-to-Desp",0,Webhook-Event-Consume,,"e49fe276-4107-4350-bfc8-cfc7fb598777","2020-10-16T21:03:05.741253",5207.0,"2020-10-16T21:03:10.948254",PASSED,consume
"mock-WHEN-event-has-All-fields-being-TRANSFER-EXPECT-message-posted-to-Desp",0,SETUP_RESET_MAPPINGS,,"801c3e4a-5a94-425e-a92d-b437ac0b028d","2020-10-16T21:02:50.480845",40.0,"2020-10-16T21:02:50.520970",PASSED,POST
"mock-WHEN-event-has-All-fields-being-TRANSFER-EXPECT-message-posted-to-Desp",0,"GIVEN_webhook_xtransferOrder_event_posted_on_kafka",,"827655be-5302-46c2-a6b2-e6dbb10972bf","2020-10-16T21:02:58.582575",153.0,"2020-10-16T21:02:58.736094",PASSED,produceMessage
"mock-WHEN-event-has-All-fields-being-TRANSFER-EXPECT-message-posted-to-Desp",0,SETUP_DELETE_REQUESTS,,"b1d41424-068f-470d-890d-e18962dd8da7","2020-10-16T21:02:50.521754",13.0,"2020-10-16T21:02:50.535171",PASSED,DELETE
"mock-WHEN-event-has-All-fields-being-TRANSFER-EXPECT-message-posted-to-Desp",0,"EXPECT_GET_call_to_OSP_for_Purchase_order_details",,"39030aa1-771f-4dd1-8f77-cb01fcb65a77","2020-10-16T21:03:10.948900",14.0,"2020-10-16T21:03:10.963615",FAILED,POST
"mock-WHEN-event-has-All-fields-being-TRANSFER-EXPECT-message-posted-to-Desp",0,"Clear-Kafka-Queue-Webhook",,"faf2f1f6-0ba1-4b09-bb32-5223c66d2c2b","2020-10-16T21:02:50.535891",4025.0,"2020-10-16T21:02:54.560961",PASSED,consume
"mock-WHEN-event-has-All-fields-being-TRANSFER-EXPECT-message-posted-to-Desp",0,"DELAY_for_Wiremock_Processing",,"4a0e5263-b97e-4043-bd56-780446321531","2020-10-16T21:02:58.736617",7003.0,"2020-10-16T21:03:05.740610",PASSED,seconds
"mock-WHEN-event-has-All-fields-being-TRANSFER-EXPECT-message-posted-to-Desp",0,"Clear-Kafka-Queue-Inventory",,"fa3a309f-4ff6-4dcf-9801-cb98d3b7a3c2","2020-10-16T21:02:54.561556",4020.0,"2020-10-16T21:02:58.581856",PASSED,consume
"mock-WHEN-event-has-zero-fields-being-TRANSFER-EXPECT-message-posted-to-Desp",1,Webhook-Event-Consume,,"b413556b-17a7-410c-940a-ceff3f6801a2","2020-10-16T21:03:26.079334",4016.0,"2020-10-16T21:03:30.096189",PASSED,consume
"mock-WHEN-event-has-zero-fields-being-TRANSFER-EXPECT-message-posted-to-Desp",1,SETUP_DELETE_REQUESTS,,"dc9b8781-4f21-42a8-904b-8465c78d81f4","2020-10-16T21:03:10.997979",12.0,"2020-10-16T21:03:11.010431",PASSED,DELETE
"mock-WHEN-event-has-zero-fields-being-TRANSFER-EXPECT-message-posted-to-Desp",1,"EXPECT_GET_call_to_OSP_for_Purchase_order_details",,"45193c16-495a-49e1-ba9a-322c282b1ea4","2020-10-16T21:03:30.096922",16.0,"2020-10-16T21:03:30.113310",FAILED,POST
"mock-WHEN-event-has-zero-fields-being-TRANSFER-EXPECT-message-posted-to-Desp",1,SETUP_RESET_MAPPINGS,,"f205a54c-6887-4e83-9ba8-fe802e237078","2020-10-16T21:03:10.965558",31.0,"2020-10-16T21:03:10.997341",PASSED,POST
"mock-WHEN-event-has-zero-fields-being-TRANSFER-EXPECT-message-posted-to-Desp",1,"GIVEN_webhook_xtransferOrder_event_posted_on_kafka",,"f5cfb4ce-d8bd-4686-a000-28c4e273fb61","2020-10-16T21:03:19.045867",31.0,"2020-10-16T21:03:19.077696",PASSED,produceMessage
"mock-WHEN-event-has-zero-fields-being-TRANSFER-EXPECT-message-posted-to-Desp",1,"Clear-Kafka-Queue-Inventory",,"1f7fa889-9fe7-49b2-8d67-800c67e95993","2020-10-16T21:03:15.024042",4021.0,"2020-10-16T21:03:19.045167",PASSED,consume
